;Method;nselected;tn;fn;fp;tp;data.i;sensitivity;specificity;false.pos.rate;false.neg.rate;false.disc.rate;false.omit.rate;expo;ICC
tot.481;DLNMselectforward.bh;26;474;0;23;3;9;100;95,4;4,6;0;88,5;0;3;1
tot.482;DLNMselectforward.by;17;483;0;14;3;9;100;97,2;2,8;0;82,4;0;3;1
tot.483;Av.DLNMpen.none;12;488;0;9;3;9;100;98,2;1,8;0;75;0;3;1
tot.484;Av.DLNMpen.bonf;9;491;0;6;3;9;100;98,8;1,2;0;66,7;0;3;1
tot.485;Av.DLNMpen.bh;12;488;0;9;3;9;100;98,2;1,8;0;75;0;3;1
tot.486;Av.DLNMpen.by;12;488;0;9;3;9;100;98,2;1,8;0;75;0;3;1
tot.487;Av.DLNMselect.none;9;491;0;6;3;9;100;98,8;1,2;0;66,7;0;3;1
tot.488;Av.DLNMselect.bonf;4;495;1;2;2;9;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.489;Av.DLNMselect.bh;9;491;0;6;3;9;100;98,8;1,2;0;66,7;0;3;1
tot.490;Av.DLNMselect.by;9;491;0;6;3;9;100;98,8;1,2;0;66,7;0;3;1
tot.491;Av.DLNMselectback.none;9;491;0;6;3;9;100;98,8;1,2;0;66,7;0;3;1
tot.492;Av.DLNMselectback.bonf;9;491;0;6;3;9;100;98,8;1,2;0;66,7;0;3;1
tot.493;Av.DLNMselectback.bh;9;491;0;6;3;9;100;98,8;1,2;0;66,7;0;3;1
tot.494;Av.DLNMselectback.by;9;491;0;6;3;9;100;98,8;1,2;0;66,7;0;3;1
tot.495;Raw.ExWAS.none;38;462;0;35;3;10;100;93;7;0;92,1;0;3;1
tot.496;Raw.ExWAS.MLM.none;7;493;0;4;3;10;100;99,2;0,8;0;57,1;0;3;1
tot.497;Raw.Exwas.bon;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.498;Raw.Exwas.MLM.bon;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.499;Raw.ExWAS.bh;3;496;1;1;2;10;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.500;Raw.ExWAS.MLM.bh;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.501;Raw.ExWAS.by;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.502;Raw.ExWAS.MLM.by;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.503;Raw.ENET.min;20;480;0;17;3;10;100;96,6;3,4;0;85;0;3;1
tot.504;Raw.ENET.opt;1;497;2;0;1;10;33,3;100;0;66,7;0;0,4;3;1
tot.505;Raw.sPLS;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.506;Raw.sNPLS;12;486;2;11;1;10;33,3;97,8;2,2;66,7;91,7;0,4;3;1
tot.507;Raw.MMPC;9;491;0;6;3;10;100;98,8;1,2;0;66,7;0;3;1
tot.508;Raw.DSA;2;497;1;0;2;10;66,7;100;0;33,3;0;0,2;3;1
tot.509;Av.ExWAS.none;29;471;0;26;3;10;100;94,8;5,2;0;89,7;0;3;1
tot.510;Av.ExWAS.MLM.none;4;494;2;3;1;10;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.511;Av.Exwas.bon;4;494;2;3;1;10;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.512;Av.Exwas.MLM.bon;1;497;2;0;1;10;33,3;100;0;66,7;0;0,4;3;1
tot.513;Av.ExWAS.bh;4;494;2;3;1;10;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.514;Av.ExWAS.MLM.bh;1;497;2;0;1;10;33,3;100;0;66,7;0;0,4;3;1
tot.515;Av.ExWAS.by;4;494;2;3;1;10;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.516;Av.ExWAS.MLM.by;1;497;2;0;1;10;33,3;100;0;66,7;0;0,4;3;1
tot.517;Av.ENET.min;26;473;1;24;2;10;66,7;95,2;4,8;33,3;92,3;0,2;3;1
tot.518;Av.ENET.opt;0;497;3;0;0;10;0;100;0;100;0;0,6;3;1
tot.519;Av.sPLS;13;485;2;12;1;10;33,3;97,6;2,4;66,7;92,3;0,4;3;1
