;Method;nselected;tn;fn;fp;tp;data.i;sensitivity;specificity;false.pos.rate;false.neg.rate;false.disc.rate;false.omit.rate;expo;ICC
tot.4857;Av.Exwas.MLM.bon;1;496;3;1;0;89;0;99,8;0,2;100;100;0,6;3;1
tot.4858;Av.ExWAS.bh;14;485;1;12;2;89;66,7;97,6;2,4;33,3;85,7;0,2;3;1
tot.4859;Av.ExWAS.MLM.bh;3;495;2;2;1;89;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.4860;Av.ExWAS.by;5;493;2;4;1;89;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.4861;Av.ExWAS.MLM.by;0;497;3;0;0;89;0;100;0;100;0;0,6;3;1
tot.4862;Av.ENET.min;13;486;1;11;2;89;66,7;97,8;2,2;33,3;84,6;0,2;3;1
tot.4863;Av.ENET.opt;0;497;3;0;0;89;0;100;0;100;0;0,6;3;1
tot.4864;Av.sPLS;5;493;2;4;1;89;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.4865;Av.MMPC;3;496;1;1;2;89;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4866;Av.DSA;2;496;2;1;1;89;33,3;99,8;0,2;66,7;50;0,4;3;1
tot.4867;DLNMpen.none;15;485;0;12;3;89;100;97,6;2,4;0;80;0;3;1
tot.4868;DLNMpen.bonf;9;491;0;6;3;89;100;98,8;1,2;0;66,7;0;3;1
tot.4869;DLNMpen.bh;9;491;0;6;3;89;100;98,8;1,2;0;66,7;0;3;1
tot.4870;DLNMpen.by;9;491;0;6;3;89;100;98,8;1,2;0;66,7;0;3;1
tot.4871;DLNMselect.none;17;483;0;14;3;89;100;97,2;2,8;0;82,4;0;3;1
tot.4872;DLNMselect.bonf;10;490;0;7;3;89;100;98,6;1,4;0;70;0;3;1
tot.4873;DLNMselect.bh;10;490;0;7;3;89;100;98,6;1,4;0;70;0;3;1
tot.4874;DLNMselect.by;10;490;0;7;3;89;100;98,6;1,4;0;70;0;3;1
tot.4875;DLNMselectback.none;15;485;0;12;3;89;100;97,6;2,4;0;80;0;3;1
tot.4876;DLNMselectback.bonf;8;492;0;5;3;89;100;99;1;0;62,5;0;3;1
tot.4877;DLNMselectback.bh;8;492;0;5;3;89;100;99;1;0;62,5;0;3;1
tot.4878;DLNMselectback.by;8;492;0;5;3;89;100;99;1;0;62,5;0;3;1
tot.4879;DLNMselectforward.none;18;482;0;15;3;89;100;97;3;0;83,3;0;3;1
tot.4880;DLNMselectforward.bonf;9;491;0;6;3;89;100;98,8;1,2;0;66,7;0;3;1
tot.4881;DLNMselectforward.bh;18;482;0;15;3;89;100;97;3;0;83,3;0;3;1
tot.4882;DLNMselectforward.by;11;489;0;8;3;89;100;98,4;1,6;0;72,7;0;3;1
tot.4883;Av.DLNMpen.none;3;496;1;1;2;89;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4884;Av.DLNMpen.bonf;3;496;1;1;2;89;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4885;Av.DLNMpen.bh;3;496;1;1;2;89;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4886;Av.DLNMpen.by;3;496;1;1;2;89;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4887;Av.DLNMselect.none;4;495;1;2;2;89;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.4888;Av.DLNMselect.bonf;3;495;2;2;1;89;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.4889;Av.DLNMselect.bh;4;495;1;2;2;89;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.4890;Av.DLNMselect.by;4;495;1;2;2;89;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.4891;Av.DLNMselectback.none;4;495;1;2;2;89;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.4892;Av.DLNMselectback.bonf;4;495;1;2;2;89;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.4893;Av.DLNMselectback.bh;4;495;1;2;2;89;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.4894;Av.DLNMselectback.by;4;495;1;2;2;89;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.4895;Raw.ExWAS.none;52;448;0;49;3;90;100;90,1;9,9;0;94,2;0;3;1
tot.4896;Raw.ExWAS.MLM.none;9;490;1;7;2;90;66,7;98,6;1,4;33,3;77,8;0,2;3;1
tot.4897;Raw.Exwas.bon;1;497;2;0;1;90;33,3;100;0;66,7;0;0,4;3;1
tot.4898;Raw.Exwas.MLM.bon;1;497;2;0;1;90;33,3;100;0;66,7;0;0,4;3;1
tot.4899;Raw.ExWAS.bh;3;496;1;1;2;90;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4900;Raw.ExWAS.MLM.bh;3;496;1;1;2;90;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4901;Raw.ExWAS.by;1;497;2;0;1;90;33,3;100;0;66,7;0;0,4;3;1
tot.4902;Raw.ExWAS.MLM.by;1;497;2;0;1;90;33,3;100;0;66,7;0;0,4;3;1
tot.4903;Raw.ENET.min;78;422;0;75;3;90;100;84,9;15,1;0;96,2;0;3;1
tot.4904;Raw.ENET.opt;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4905;Raw.sPLS;3;496;1;1;2;90;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4906;Raw.sNPLS;15;484;1;13;2;90;66,7;97,4;2,6;33,3;86,7;0,2;3;1
tot.4907;Raw.MMPC;9;491;0;6;3;90;100;98,8;1,2;0;66,7;0;3;1
tot.4908;Raw.DSA;3;496;1;1;2;90;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4909;Av.ExWAS.none;32;468;0;29;3;90;100;94,2;5,8;0;90,6;0;3;1
tot.4910;Av.ExWAS.MLM.none;5;494;1;3;2;90;66,7;99,4;0,6;33,3;60;0,2;3;1
tot.4911;Av.Exwas.bon;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4912;Av.Exwas.MLM.bon;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4913;Av.ExWAS.bh;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4914;Av.ExWAS.MLM.bh;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4915;Av.ExWAS.by;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4916;Av.ExWAS.MLM.by;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4917;Av.ENET.min;41;458;1;39;2;90;66,7;92,2;7,8;33,3;95,1;0,2;3;1
tot.4918;Av.ENET.opt;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4919;Av.sPLS;2;496;2;1;1;90;33,3;99,8;0,2;66,7;50;0,4;3;1
tot.4920;Av.MMPC;5;495;0;2;3;90;100;99,6;0,4;0;40;0;3;1
tot.4921;Av.DSA;2;496;2;1;1;90;33,3;99,8;0,2;66,7;50;0,4;3;1
tot.4922;DLNMpen.none;39;461;0;36;3;90;100;92,8;7,2;0;92,3;0;3;1
tot.4923;DLNMpen.bonf;9;490;1;7;2;90;66,7;98,6;1,4;33,3;77,8;0,2;3;1
tot.4924;DLNMpen.bh;9;490;1;7;2;90;66,7;98,6;1,4;33,3;77,8;0,2;3;1
tot.4925;DLNMpen.by;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4926;DLNMselect.none;25;474;1;23;2;90;66,7;95,4;4,6;33,3;92;0,2;3;1
tot.4927;DLNMselect.bonf;8;489;3;8;0;90;0;98,4;1,6;100;100;0,6;3;1
tot.4928;DLNMselect.bh;16;483;1;14;2;90;66,7;97,2;2,8;33,3;87,5;0,2;3;1
tot.4929;DLNMselect.by;4;493;3;4;0;90;0;99,2;0,8;100;100;0,6;3;1
tot.4930;DLNMselectback.none;20;479;1;18;2;90;66,7;96,4;3,6;33,3;90;0,2;3;1
tot.4931;DLNMselectback.bonf;4;493;3;4;0;90;0;99,2;0,8;100;100;0,6;3;1
tot.4932;DLNMselectback.bh;10;489;1;8;2;90;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.4933;DLNMselectback.by;3;494;3;3;0;90;0;99,4;0,6;100;100;0,6;3;1
tot.4934;DLNMselectforward.none;24;476;0;21;3;90;100;95,8;4,2;0;87,5;0;3;1
tot.4935;DLNMselectforward.bonf;15;484;1;13;2;90;66,7;97,4;2,6;33,3;86,7;0,2;3;1
tot.4936;DLNMselectforward.bh;24;476;0;21;3;90;100;95,8;4,2;0;87,5;0;3;1
tot.4937;DLNMselectforward.by;16;484;0;13;3;90;100;97,4;2,6;0;81,2;0;3;1
tot.4938;Av.DLNMpen.none;17;483;0;14;3;90;100;97,2;2,8;0;82,4;0;3;1
tot.4939;Av.DLNMpen.bonf;10;490;0;7;3;90;100;98,6;1,4;0;70;0;3;1
tot.4940;Av.DLNMpen.bh;17;483;0;14;3;90;100;97,2;2,8;0;82,4;0;3;1
tot.4941;Av.DLNMpen.by;14;486;0;11;3;90;100;97,8;2,2;0;78,6;0;3;1
tot.4942;Av.DLNMselect.none;13;487;0;10;3;90;100;98;2;0;76,9;0;3;1
tot.4943;Av.DLNMselect.bonf;0;497;3;0;0;90;0;100;0;100;0;0,6;3;1
tot.4944;Av.DLNMselect.bh;13;487;0;10;3;90;100;98;2;0;76,9;0;3;1
tot.4945;Av.DLNMselect.by;7;491;2;6;1;90;33,3;98,8;1,2;66,7;85,7;0,4;3;1
tot.4946;Av.DLNMselectback.none;12;488;0;9;3;90;100;98,2;1,8;0;75;0;3;1
tot.4947;Av.DLNMselectback.bonf;12;488;0;9;3;90;100;98,2;1,8;0;75;0;3;1
tot.4948;Av.DLNMselectback.bh;12;488;0;9;3;90;100;98,2;1,8;0;75;0;3;1
tot.4949;Av.DLNMselectback.by;12;488;0;9;3;90;100;98,2;1,8;0;75;0;3;1
tot.4950;Raw.ExWAS.none;63;437;0;60;3;91;100;87,9;12,1;0;95,2;0;3;1
tot.4951;Raw.ExWAS.MLM.none;8;491;1;6;2;91;66,7;98,8;1,2;33,3;75;0,2;3;1
tot.4952;Raw.Exwas.bon;9;491;0;6;3;91;100;98,8;1,2;0;66,7;0;3;1
tot.4953;Raw.Exwas.MLM.bon;3;497;0;0;3;91;100;100;0;0;0;0;3;1
tot.4954;Raw.ExWAS.bh;17;483;0;14;3;91;100;97,2;2,8;0;82,4;0;3;1
tot.4955;Raw.ExWAS.MLM.bh;4;496;0;1;3;91;100;99,8;0,2;0;25;0;3;1
tot.4956;Raw.ExWAS.by;9;491;0;6;3;91;100;98,8;1,2;0;66,7;0;3;1
tot.4957;Raw.ExWAS.MLM.by;3;497;0;0;3;91;100;100;0;0;0;0;3;1
tot.4958;Raw.ENET.min;21;479;0;18;3;91;100;96,4;3,6;0;85,7;0;3;1
tot.4959;Raw.ENET.opt;3;497;0;0;3;91;100;100;0;0;0;0;3;1
tot.4960;Raw.sPLS;3;497;0;0;3;91;100;100;0;0;0;0;3;1
tot.4961;Raw.sNPLS;2;497;1;0;2;91;66,7;100;0;33,3;0;0,2;3;1
tot.4962;Raw.MMPC;11;489;0;8;3;91;100;98,4;1,6;0;72,7;0;3;1
tot.4963;Raw.DSA;3;497;0;0;3;91;100;100;0;0;0;0;3;1
tot.4964;Av.ExWAS.none;49;451;0;46;3;91;100;90,7;9,3;0;93,9;0;3;1
tot.4965;Av.ExWAS.MLM.none;6;494;0;3;3;91;100;99,4;0,6;0;50;0;3;1
tot.4966;Av.Exwas.bon;13;487;0;10;3;91;100;98;2;0;76,9;0;3;1
tot.4967;Av.Exwas.MLM.bon;3;497;0;0;3;91;100;100;0;0;0;0;3;1
tot.4968;Av.ExWAS.bh;25;475;0;22;3;91;100;95,6;4,4;0;88;0;3;1
tot.4969;Av.ExWAS.MLM.bh;4;496;0;1;3;91;100;99,8;0,2;0;25;0;3;1
tot.4970;Av.ExWAS.by;15;485;0;12;3;91;100;97,6;2,4;0;80;0;3;1
tot.4971;Av.ExWAS.MLM.by;3;497;0;0;3;91;100;100;0;0;0;0;3;1
tot.4972;Av.ENET.min;57;443;0;54;3;91;100;89,1;10,9;0;94,7;0;3;1
tot.4973;Av.ENET.opt;0;497;3;0;0;91;0;100;0;100;0;0,6;3;1
tot.4974;Av.sPLS;2;497;1;0;2;91;66,7;100;0;33,3;0;0,2;3;1
tot.4975;Av.MMPC;6;494;0;3;3;91;100;99,4;0,6;0;50;0;3;1
tot.4976;Av.DSA;3;497;0;0;3;91;100;100;0;0;0;0;3;1
tot.4977;DLNMpen.none;25;474;1;23;2;91;66,7;95,4;4,6;33,3;92;0,2;3;1
tot.4978;DLNMpen.bonf;3;496;1;1;2;91;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4979;DLNMpen.bh;10;489;1;8;2;91;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.4980;DLNMpen.by;3;496;1;1;2;91;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.4981;DLNMselect.none;26;473;1;24;2;91;66,7;95,2;4,8;33,3;92,3;0,2;3;1
tot.4982;DLNMselect.bonf;10;489;1;8;2;91;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.4983;DLNMselect.bh;10;489;1;8;2;91;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.4984;DLNMselect.by;10;489;1;8;2;91;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.4985;DLNMselectback.none;24;475;1;22;2;91;66,7;95,6;4,4;33,3;91,7;0,2;3;1
tot.4986;DLNMselectback.bonf;6;493;1;4;2;91;66,7;99,2;0,8;33,3;66,7;0,2;3;1
tot.4987;DLNMselectback.bh;6;493;1;4;2;91;66,7;99,2;0,8;33,3;66,7;0,2;3;1
tot.4988;DLNMselectback.by;6;493;1;4;2;91;66,7;99,2;0,8;33,3;66,7;0,2;3;1
tot.4989;DLNMselectforward.none;19;480;1;17;2;91;66,7;96,6;3,4;33,3;89,5;0,2;3;1
tot.4990;DLNMselectforward.bonf;9;490;1;7;2;91;66,7;98,6;1,4;33,3;77,8;0,2;3;1
tot.4991;DLNMselectforward.bh;19;480;1;17;2;91;66,7;96,6;3,4;33,3;89,5;0,2;3;1
tot.4992;DLNMselectforward.by;14;485;1;12;2;91;66,7;97,6;2,4;33,3;85,7;0,2;3;1
tot.4993;Av.DLNMpen.none;15;484;1;13;2;91;66,7;97,4;2,6;33,3;86,7;0,2;3;1
tot.4994;Av.DLNMpen.bonf;5;494;1;3;2;91;66,7;99,4;0,6;33,3;60;0,2;3;1
tot.4995;Av.DLNMpen.bh;10;489;1;8;2;91;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.4996;Av.DLNMpen.by;5;494;1;3;2;91;66,7;99,4;0,6;33,3;60;0,2;3;1
tot.4997;Av.DLNMselect.none;8;492;0;5;3;91;100;99;1;0;62,5;0;3;1
tot.4998;Av.DLNMselect.bonf;4;496;0;1;3;91;100;99,8;0,2;0;25;0;3;1
tot.4999;Av.DLNMselect.bh;4;496;0;1;3;91;100;99,8;0,2;0;25;0;3;1
tot.5000;Av.DLNMselect.by;4;496;0;1;3;91;100;99,8;0,2;0;25;0;3;1
tot.5001;Av.DLNMselectback.none;9;491;0;6;3;91;100;98,8;1,2;0;66,7;0;3;1
tot.5002;Av.DLNMselectback.bonf;4;496;0;1;3;91;100;99,8;0,2;0;25;0;3;1
tot.5003;Av.DLNMselectback.bh;9;491;0;6;3;91;100;98,8;1,2;0;66,7;0;3;1
tot.5004;Av.DLNMselectback.by;4;496;0;1;3;91;100;99,8;0,2;0;25;0;3;1
tot.5005;Raw.ExWAS.none;43;457;0;40;3;92;100;92;8;0;93;0;3;1
tot.5006;Raw.ExWAS.MLM.none;7;491;2;6;1;92;33,3;98,8;1,2;66,7;85,7;0,4;3;1
tot.5007;Raw.Exwas.bon;4;496;0;1;3;92;100;99,8;0,2;0;25;0;3;1
tot.5008;Raw.Exwas.MLM.bon;3;497;0;0;3;92;100;100;0;0;0;0;3;1
tot.5009;Raw.ExWAS.bh;6;494;0;3;3;92;100;99,4;0,6;0;50;0;3;1
tot.5010;Raw.ExWAS.MLM.bh;3;497;0;0;3;92;100;100;0;0;0;0;3;1
tot.5011;Raw.ExWAS.by;3;497;0;0;3;92;100;100;0;0;0;0;3;1
tot.5012;Raw.ExWAS.MLM.by;3;497;0;0;3;92;100;100;0;0;0;0;3;1
tot.5013;Raw.ENET.min;21;479;0;18;3;92;100;96,4;3,6;0;85,7;0;3;1
tot.5014;Raw.ENET.opt;3;497;0;0;3;92;100;100;0;0;0;0;3;1
tot.5015;Raw.sPLS;3;497;0;0;3;92;100;100;0;0;0;0;3;1
tot.5016;Raw.sNPLS;3;496;1;1;2;92;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.5017;Raw.MMPC;9;491;0;6;3;92;100;98,8;1,2;0;66,7;0;3;1
tot.5018;Raw.DSA;3;497;0;0;3;92;100;100;0;0;0;0;3;1
tot.5019;Av.ExWAS.none;27;473;0;24;3;92;100;95,2;4,8;0;88,9;0;3;1
tot.5020;Av.ExWAS.MLM.none;1;496;3;1;0;92;0;99,8;0,2;100;100;0,6;3;1
tot.5021;Av.Exwas.bon;2;496;2;1;1;92;33,3;99,8;0,2;66,7;50;0,4;3;1
tot.5022;Av.Exwas.MLM.bon;1;497;2;0;1;92;33,3;100;0;66,7;0;0,4;3;1
tot.5023;Av.ExWAS.bh;4;494;2;3;1;92;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.5024;Av.ExWAS.MLM.bh;1;497;2;0;1;92;33,3;100;0;66,7;0;0,4;3;1
tot.5025;Av.ExWAS.by;0;497;3;0;0;92;0;100;0;100;0;0,6;3;1
tot.5026;Av.ExWAS.MLM.by;0;497;3;0;0;92;0;100;0;100;0;0,6;3;1
tot.5027;Av.ENET.min;19;481;0;16;3;92;100;96,8;3,2;0;84,2;0;3;1
tot.5028;Av.ENET.opt;1;497;2;0;1;92;33,3;100;0;66,7;0;0,4;3;1
tot.5029;Av.sPLS;3;496;1;1;2;92;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.5030;Av.MMPC;4;495;1;2;2;92;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.5031;Av.DSA;1;497;2;0;1;92;33,3;100;0;66,7;0;0,4;3;1
tot.5032;DLNMpen.none;28;472;0;25;3;92;100;95;5;0;89,3;0;3;1
tot.5033;DLNMpen.bonf;5;495;0;2;3;92;100;99,6;0,4;0;40;0;3;1
tot.5034;DLNMpen.bh;6;494;0;3;3;92;100;99,4;0,6;0;50;0;3;1
tot.5035;DLNMpen.by;5;495;0;2;3;92;100;99,6;0,4;0;40;0;3;1
tot.5036;DLNMselect.none;19;481;0;16;3;92;100;96,8;3,2;0;84,2;0;3;1
tot.5037;DLNMselect.bonf;6;493;1;4;2;92;66,7;99,2;0,8;33,3;66,7;0,2;3;1
tot.5038;DLNMselect.bh;7;493;0;4;3;92;100;99,2;0,8;0;57,1;0;3;1
tot.5039;DLNMselect.by;6;493;1;4;2;92;66,7;99,2;0,8;33,3;66,7;0,2;3;1
tot.5040;DLNMselectback.none;15;485;0;12;3;92;100;97,6;2,4;0;80;0;3;1
tot.5041;DLNMselectback.bonf;4;495;1;2;2;92;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.5042;DLNMselectback.bh;5;495;0;2;3;92;100;99,6;0,4;0;40;0;3;1
tot.5043;DLNMselectback.by;4;495;1;2;2;92;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.5044;DLNMselectforward.none;15;485;0;12;3;92;100;97,6;2,4;0;80;0;3;1
tot.5045;DLNMselectforward.bonf;7;493;0;4;3;92;100;99,2;0,8;0;57,1;0;3;1
tot.5046;DLNMselectforward.bh;15;485;0;12;3;92;100;97,6;2,4;0;80;0;3;1
tot.5047;DLNMselectforward.by;11;489;0;8;3;92;100;98,4;1,6;0;72,7;0;3;1
tot.5048;Av.DLNMpen.none;17;483;0;14;3;92;100;97,2;2,8;0;82,4;0;3;1
tot.5049;Av.DLNMpen.bonf;8;492;0;5;3;92;100;99;1;0;62,5;0;3;1
tot.5050;Av.DLNMpen.bh;16;484;0;13;3;92;100;97,4;2,6;0;81,2;0;3;1
tot.5051;Av.DLNMpen.by;10;490;0;7;3;92;100;98,6;1,4;0;70;0;3;1
tot.5052;Av.DLNMselect.none;11;489;0;8;3;92;100;98,4;1,6;0;72,7;0;3;1
tot.5053;Av.DLNMselect.bonf;1;497;2;0;1;92;33,3;100;0;66,7;0;0,4;3;1
tot.5054;Av.DLNMselect.bh;10;490;0;7;3;92;100;98,6;1,4;0;70;0;3;1
tot.5055;Av.DLNMselect.by;7;493;0;4;3;92;100;99,2;0,8;0;57,1;0;3;1
tot.5056;Av.DLNMselectback.none;11;489;0;8;3;92;100;98,4;1,6;0;72,7;0;3;1
tot.5057;Av.DLNMselectback.bonf;7;493;0;4;3;92;100;99,2;0,8;0;57,1;0;3;1
tot.5058;Av.DLNMselectback.bh;11;489;0;8;3;92;100;98,4;1,6;0;72,7;0;3;1
tot.5059;Av.DLNMselectback.by;10;490;0;7;3;92;100;98,6;1,4;0;70;0;3;1
tot.5060;Raw.ExWAS.none;60;440;0;57;3;93;100;88,5;11,5;0;95;0;3;1
tot.5061;Raw.ExWAS.MLM.none;9;490;1;7;2;93;66,7;98,6;1,4;33,3;77,8;0,2;3;1
tot.5062;Raw.Exwas.bon;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5063;Raw.Exwas.MLM.bon;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5064;Raw.ExWAS.bh;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5065;Raw.ExWAS.MLM.bh;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5066;Raw.ExWAS.by;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5067;Raw.ExWAS.MLM.by;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5068;Raw.ENET.min;31;469;0;28;3;93;100;94,4;5,6;0;90,3;0;3;1
tot.5069;Raw.ENET.opt;0;497;3;0;0;93;0;100;0;100;0;0,6;3;1
tot.5070;Raw.sPLS;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5071;Raw.sNPLS;2;496;2;1;1;93;33,3;99,8;0,2;66,7;50;0,4;3;1
tot.5072;Raw.MMPC;12;487;1;10;2;93;66,7;98;2;33,3;83,3;0,2;3;1
tot.5073;Raw.DSA;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5074;Av.ExWAS.none;36;463;1;34;2;93;66,7;93,2;6,8;33,3;94,4;0,2;3;1
tot.5075;Av.ExWAS.MLM.none;3;495;2;2;1;93;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.5076;Av.Exwas.bon;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5077;Av.Exwas.MLM.bon;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5078;Av.ExWAS.bh;3;495;2;2;1;93;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.5079;Av.ExWAS.MLM.bh;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5080;Av.ExWAS.by;0;497;3;0;0;93;0;100;0;100;0;0,6;3;1
tot.5081;Av.ExWAS.MLM.by;0;497;3;0;0;93;0;100;0;100;0;0,6;3;1
tot.5082;Av.ENET.min;51;448;1;49;2;93;66,7;90,1;9,9;33,3;96,1;0,2;3;1
tot.5083;Av.ENET.opt;0;497;3;0;0;93;0;100;0;100;0;0,6;3;1
tot.5084;Av.sPLS;0;0;0;0;0;93;NA;NA;NA;NA;0;NA;3;1
tot.5085;Av.MMPC;5;493;2;4;1;93;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.5086;Av.DSA;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5087;DLNMpen.none;17;483;0;14;3;93;100;97,2;2,8;0;82,4;0;3;1
tot.5088;DLNMpen.bonf;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5089;DLNMpen.bh;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5090;DLNMpen.by;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5091;DLNMselect.none;23;476;1;21;2;93;66,7;95,8;4,2;33,3;91,3;0,2;3;1
tot.5092;DLNMselect.bonf;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5093;DLNMselect.bh;4;494;2;3;1;93;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.5094;DLNMselect.by;0;497;3;0;0;93;0;100;0;100;0;0,6;3;1
tot.5095;DLNMselectback.none;13;486;1;11;2;93;66,7;97,8;2,2;33,3;84,6;0,2;3;1
tot.5096;DLNMselectback.bonf;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5097;DLNMselectback.bh;4;494;2;3;1;93;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.5098;DLNMselectback.by;0;497;3;0;0;93;0;100;0;100;0;0,6;3;1
tot.5099;DLNMselectforward.none;19;480;1;17;2;93;66,7;96,6;3,4;33,3;89,5;0,2;3;1
tot.5100;DLNMselectforward.bonf;8;491;1;6;2;93;66,7;98,8;1,2;33,3;75;0,2;3;1
tot.5101;DLNMselectforward.bh;19;480;1;17;2;93;66,7;96,6;3,4;33,3;89,5;0,2;3;1
tot.5102;DLNMselectforward.by;8;491;1;6;2;93;66,7;98,8;1,2;33,3;75;0,2;3;1
tot.5103;Av.DLNMpen.none;11;488;1;9;2;93;66,7;98,2;1,8;33,3;81,8;0,2;3;1
tot.5104;Av.DLNMpen.bonf;4;494;2;3;1;93;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.5105;Av.DLNMpen.bh;8;491;1;6;2;93;66,7;98,8;1,2;33,3;75;0,2;3;1
tot.5106;Av.DLNMpen.by;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5107;Av.DLNMselect.none;6;492;2;5;1;93;33,3;99;1;66,7;83,3;0,4;3;1
tot.5108;Av.DLNMselect.bonf;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5109;Av.DLNMselect.bh;5;493;2;4;1;93;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.5110;Av.DLNMselect.by;1;497;2;0;1;93;33,3;100;0;66,7;0;0,4;3;1
tot.5111;Av.DLNMselectback.none;5;493;2;4;1;93;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.5112;Av.DLNMselectback.bonf;4;494;2;3;1;93;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.5113;Av.DLNMselectback.bh;5;493;2;4;1;93;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.5114;Av.DLNMselectback.by;5;493;2;4;1;93;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.5115;Raw.ExWAS.none;55;445;0;52;3;94;100;89,5;10,5;0;94,5;0;3;1
tot.5116;Raw.ExWAS.MLM.none;1;497;2;0;1;94;33,3;100;0;66,7;0;0,4;3;1
tot.5117;Raw.Exwas.bon;11;489;0;8;3;94;100;98,4;1,6;0;72,7;0;3;1
tot.5118;Raw.Exwas.MLM.bon;2;497;1;0;2;94;66,7;100;0;33,3;0;0,2;3;1
tot.5119;Raw.ExWAS.bh;14;486;0;11;3;94;100;97,8;2,2;0;78,6;0;3;1
tot.5120;Raw.ExWAS.MLM.bh;2;497;1;0;2;94;66,7;100;0;33,3;0;0,2;3;1
tot.5121;Raw.ExWAS.by;12;488;0;9;3;94;100;98,2;1,8;0;75;0;3;1
