"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"19";"DLNMselect.none";"63.594";"46.2";"28.36";"15.4675536579517";"13.7083621165766";"8.51560658764574";"62.2";"57.727";"49.273";"10.8727441640354";"13.795364870825";"12.3492432598483";"63.6 (15.5)";"46.2 (13.7)";"28.4 (8.5)";"62.2 (10.9)";"57.7 (13.8)";"49.3 (12.3)"
"20";"DLNMselect.bonf";"60.928";"38.96";"16.66";"16.4393103642618";"15.2513751656841";"8.05062266241098";"11.85";"12.674";"11.797";"16.3636422558912";"16.2251807043524";"18.5380877649179";"60.9 (16.4)";"39 (15.3)";"16.7 (8.1)";"11.8 (16.4)";"12.7 (16.2)";"11.8 (18.5)"
"21";"DLNMselect.bh";"62.862";"44";"23.8";"15.7486108414153";"14.6721752740596";"9.43879807448539";"27.974";"32.828";"25.2";"22.4849562277905";"20.7706235833305";"19.1048674320436";"62.9 (15.7)";"44 (14.7)";"23.8 (9.4)";"28 (22.5)";"32.8 (20.8)";"25.2 (19.1)"
"22";"DLNMselect.by";"60.861";"38.96";"16.42";"16.1814015636983";"15.2513751656841";"9.2520049697131";"10.236";"12.351";"10.443";"15.904725935102";"16.6526516528362";"17.8493768388522";"60.9 (16.2)";"39 (15.3)";"16.4 (9.3)";"10.2 (15.9)";"12.4 (16.7)";"10.4 (17.8)"
"23";"DLNMselectback.none";"63.73";"47.24";"27.22";"16.5631482148739";"13.5102804104014";"8.27748558904017";"54.578";"50.177";"43.401";"13.6888333168228";"15.853233777754";"12.4604221518382";"63.7 (16.6)";"47.2 (13.5)";"27.2 (8.3)";"54.6 (13.7)";"50.2 (15.9)";"43.4 (12.5)"
"24";"DLNMselectback.bonf";"59.803";"38.72";"15.6";"16.3662405363275";"14.5935366903062";"7.58520622892704";"8.96";"9.792";"9.506";"14.1732213000504";"15.9798843246847";"17.2731695956124";"59.8 (16.4)";"38.7 (14.6)";"15.6 (7.6)";"9 (14.2)";"9.8 (16)";"9.5 (17.3)"
"25";"DLNMselectback.bh";"62.134";"44";"22.46";"15.299998151449";"14.6831862889483";"9.1181027620771";"23.862";"28.194";"22.146";"21.0127752387047";"19.8997732081894";"17.569161573161";"62.1 (15.3)";"44 (14.7)";"22.5 (9.1)";"23.9 (21)";"28.2 (19.9)";"22.1 (17.6)"
"26";"DLNMselectback.by";"59.935";"38.76";"15.3";"16.2023154287443";"14.5026086124413";"8.70330251958845";"7.756";"10.985";"8.832";"13.7452678358331";"15.9193381860814";"16.3646939501113";"59.9 (16.2)";"38.8 (14.5)";"15.3 (8.7)";"7.8 (13.7)";"11 (15.9)";"8.8 (16.4)"
"27";"DLNMselectforward.none";"63.8";"47.8";"26.68";"15.8076506218292";"13.6374410348789";"7.73406475120021";"56.189";"51.665";"41.244";"11.802147510457";"12.7173656426513";"13.0319523410033";"63.8 (15.8)";"47.8 (13.6)";"26.7 (7.7)";"56.2 (11.8)";"51.7 (12.7)";"41.2 (13)"
"28";"DLNMselectforward.bonf";"63.667";"45.92";"23.54";"15.952176350048";"14.298180996126";"7.91293532480491";"29.193";"26.971";"21.777";"19.0954341943488";"17.9668791520577";"16.5702657818397";"63.7 (16)";"45.9 (14.3)";"23.5 (7.9)";"29.2 (19.1)";"27 (18)";"21.8 (16.6)"
"29";"DLNMselectforward.bh";"63.8";"47.8";"26.68";"15.8076506218292";"13.6374410348789";"7.73406475120021";"56.189";"51.665";"41.244";"11.802147510457";"12.7173656426513";"13.0319523410033";"63.8 (15.8)";"47.8 (13.6)";"26.7 (7.7)";"56.2 (11.8)";"51.7 (12.7)";"41.2 (13)"
"30";"DLNMselectforward.by";"63.8";"46.68";"25.76";"15.8076506218292";"14.0193805249387";"7.96091462183596";"40.237";"39.074";"32.967";"18.903955307359";"18.8051014999718";"15.650972506654";"63.8 (15.8)";"46.7 (14)";"25.8 (8)";"40.2 (18.9)";"39.1 (18.8)";"33 (15.7)"
"31";"Av.ExWAS.none";"93.337";"86.04";"71.52";"8.62749486680622";"9.4022563378385";"9.75713155397713";"72.821";"64.609";"57.621";"11.8212896030335";"12.3142448104837";"8.91382191947546";"93.3 (8.6)";"86 (9.4)";"71.5 (9.8)";"72.8 (11.8)";"64.6 (12.3)";"57.6 (8.9)"
"32";"Av.Exwas.bon";"82.071";"65.32";"38.72";"15.3808505826714";"14.7606356108524";"11.5278144090936";"37.394";"30.205";"24.678";"24.6985740397287";"21.2392498060368";"16.7162932675298";"82.1 (15.4)";"65.3 (14.8)";"38.7 (11.5)";"37.4 (24.7)";"30.2 (21.2)";"24.7 (16.7)"
"33";"Av.ExWAS.bh";"92.337";"83.68";"65.24";"10.4362195155994";"11.6053627450608";"12.2722648622202";"54.96";"47.396";"45.366";"24.0611846354373";"21.5128428637595";"14.3656381548457";"92.3 (10.4)";"83.7 (11.6)";"65.2 (12.3)";"55 (24.1)";"47.4 (21.5)";"45.4 (14.4)"
"34";"Av.ExWAS.by";"87.536";"73.32";"50";"13.7818613042688";"15.1922893786834";"15.215621956238";"42.58";"34.882";"31.229";"26.7099421583239";"22.5885793079493";"17.5634681407549";"87.5 (13.8)";"73.3 (15.2)";"50 (15.2)";"42.6 (26.7)";"34.9 (22.6)";"31.2 (17.6)"
"35";"Av.ExWAS.MLM.none";"23.201";"12.36";"7.34";"15.3252382781746";"8.56763937408925";"4.48616278858186";"19.65";"20.604";"16.229";"26.6803279400741";"27.2405962645549";"23.0839587268963";"23.2 (15.3)";"12.4 (8.6)";"7.3 (4.5)";"19.6 (26.7)";"20.6 (27.2)";"16.2 (23.1)"
"36";"Av.Exwas.MLM.bon";"21.197";"9.64";"5.34";"13.7762748406399";"6.60810643884242";"3.34005383129667";"4.369";"8.992";"7.243";"15.2092522013823";"20.4934908611678";"18.5139710009015";"21.2 (13.8)";"9.6 (6.6)";"5.3 (3.3)";"4.4 (15.2)";"9 (20.5)";"7.2 (18.5)"
"37";"Av.ExWAS.MLM.bh";"22.934";"11.92";"7";"14.5692024698012";"8.25806003584108";"4.51708317435493";"10.606";"11.665";"12.296";"21.4798746304864";"22.1610923727039";"19.5901125339011";"22.9 (14.6)";"11.9 (8.3)";"7 (4.5)";"10.6 (21.5)";"11.7 (22.2)";"12.3 (19.6)"
