"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"19";"Av.EWAS_LM.none";"92.006";"81.8";"61.2";"15.7906686420055";"17.3135084762614";"15.3925076881349";"36.156";"28.76";"21.421";"19.4525494680795";"17.9060059897524";"13.5588004519932";"92 (15.8)";"81.8 (17.3)";"61.2 (15.4)";"36.2 (19.5)";"28.8 (17.9)";"21.4 (13.6)"
"20";"Av.EWAS_LM.bon";"93.338";"77.4";"47.2";"14.9753317698194";"18.3468269901381";"14.5699289045221";"8.832";"8.487";"9.685";"14.5244960621216";"13.8452023196748";"11.2370183237405";"93.3 (15)";"77.4 (18.3)";"47.2 (14.6)";"8.8 (14.5)";"8.5 (13.8)";"9.7 (11.2)"
"21";"Av.EWAS_LM.bh";"93.339";"82.4";"57.7";"14.2034346038363";"16.3990637820972";"15.6253484809624";"18.832";"14.542";"15.273";"18.9019633419869";"17.3487645762813";"12.5942495696338";"93.3 (14.2)";"82.4 (16.4)";"57.7 (15.6)";"18.8 (18.9)";"14.5 (17.3)";"15.3 (12.6)"
"22";"Av.EWAS_LM.by";"93.338";"77.4";"49.5";"14.9753317698194";"19.2075321925877";"15.7874134753741";"9.599";"8.418";"10.711";"15.654924645509";"14.8756758950084";"12.3813471224119";"93.3 (15)";"77.4 (19.2)";"49.5 (15.8)";"9.6 (15.7)";"8.4 (14.9)";"10.7 (12.4)"
"23";"Av.ENET_MIN";"99.001";"96.2";"88.3";"5.70917204632558";"8.38228049295812";"9.95494902553549";"76.053";"71.4";"64.838";"12.5996348752612";"11.4808580258664";"8.71060864867106";"99 (5.7)";"96.2 (8.4)";"88.3 (10)";"76.1 (12.6)";"71.4 (11.5)";"64.8 (8.7)"
"24";"Av.ENET_OPT";"79.346";"67.8";"48.6";"21.0677810407218";"22.3642933302534";"23.0072452356499";"9.731";"12.52";"17.427";"18.1131387939721";"15.9096184616715";"19.0706334875421";"79.3 (21.1)";"67.8 (22.4)";"48.6 (23)";"9.7 (18.1)";"12.5 (15.9)";"17.4 (19.1)"
"25";"Av.SPLS";"95.338";"84.6";"70.5";"11.6128784310586";"16.2940157571714";"19.089105253886";"19.472";"19.873";"32.158";"23.6539875554361";"24.2529175793576";"23.8138028899378";"95.3 (11.6)";"84.6 (16.3)";"70.5 (19.1)";"19.5 (23.7)";"19.9 (24.3)";"32.2 (23.8)"
"26";"Av.MMPC";"97.669";"90.2";"65.4";"8.53919891920888";"13.1794146189036";"12.7461620288088";"31.467";"21.149";"20.335";"17.2420911748201";"15.2298318036568";"13.2406504082059";"97.7 (8.5)";"90.2 (13.2)";"65.4 (12.7)";"31.5 (17.2)";"21.1 (15.2)";"20.3 (13.2)"
"27";"Av.DSA";"97.003";"85.8";"64";"9.57786225911322";"15.3859439985746";"20";"7.691";"10.048";"20.236";"15.0114037123162";"15.1055376828125";"16.7190360265347";"97 (9.6)";"85.8 (15.4)";"64 (20)";"7.7 (15)";"10 (15.1)";"20.2 (16.7)"
"28";"Av.2step.EWAS.none";"99.667";"96.8";"86.5";"3.33";"7.36905898354941";"9.4681816969503";"81.042";"73.732";"65.167";"7.77312360026846";"9.03889329061871";"7.44926347115111";"99.7 (3.3)";"96.8 (7.4)";"86.5 (9.5)";"81 (7.8)";"73.7 (9)";"65.2 (7.4)"
"29";"Av.2step.EWAS.bon";"94.006";"79.2";"52.3";"12.8578932248568";"16.0604917091412";"13.769751653754";"43.883";"35.2";"28.493";"25.1649750786102";"21.7421157194877";"17.4554859831828";"94 (12.9)";"79.2 (16.1)";"52.3 (13.8)";"43.9 (25.2)";"35.2 (21.7)";"28.5 (17.5)"
"30";"Av.2step.EWAS.bh";"98.335";"92.4";"74.7";"7.29412902146776";"10.9286020805199";"13.3677585891192";"57.986";"50.019";"48.45";"24.6737664639015";"21.9443266868085";"15.3344433063333";"98.3 (7.3)";"92.4 (10.9)";"74.7 (13.4)";"58 (24.7)";"50 (21.9)";"48.5 (15.3)"
"31";"Av.2step.EWAS.by";"97.003";"83.4";"58.5";"9.57786225911322";"16.5889095238933";"16.7799182526512";"45.187";"36.803";"34.629";"27.0039078915282";"23.1784358812019";"18.1296135612094";"97 (9.6)";"83.4 (16.6)";"58.5 (16.8)";"45.2 (27)";"36.8 (23.2)";"34.6 (18.1)"
"32";"Av.2step.EWAS_LM.none";"67.343";"44.8";"29.9";"29.203971831021";"24.6379849628638";"16.6056458696274";"22.965";"21.63";"16.514";"27.9224118918582";"27.0151678308556";"22.9883809914065";"67.3 (29.2)";"44.8 (24.6)";"29.9 (16.6)";"23 (27.9)";"21.6 (27)";"16.5 (23)"
"33";"Av.2step.EWAS_LM.bon";"66.341";"38.6";"23.4";"29.0188447827485";"22.9632996608312";"13.7965008006898";"4.983";"9.616";"7.483";"16.3326039107379";"21.3464908288709";"18.7681605250741";"66.3 (29)";"38.6 (23)";"23.4 (13.8)";"5 (16.3)";"9.6 (21.3)";"7.5 (18.8)"
