"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"19";"DLNMselect.none";"68.347";"49.6";"23.8";"24.3376810354195";"20.593222382153";"14.7559267325835";"89.36";"87.033";"89.269";"4.87740616609801";"6.58383473349535";"7.10724051068821";"68.3 (24.3)";"49.6 (20.6)";"23.8 (14.8)";"89.4 (4.9)";"87 (6.6)";"89.3 (7.1)"
"20";"DLNMselect.bonf";"48.001";"24.2";"7.1";"25.6724255444111";"16.4027590682332";"7.95124029458437";"61.869";"57.592";"66.213";"27.3552967744121";"32.0550148300945";"36.4282986207706";"48 (25.7)";"24.2 (16.4)";"7.1 (8)";"61.9 (27.4)";"57.6 (32.1)";"66.2 (36.4)"
"21";"DLNMselect.bh";"57.341";"28.2";"13.7";"27.2633068056646";"19.2998665405968";"13.3828625525711";"72.713";"66.938";"72.578";"20.9907803474754";"29.5069338880668";"30.9341483043114";"57.3 (27.3)";"28.2 (19.3)";"13.7 (13.4)";"72.7 (21)";"66.9 (29.5)";"72.6 (30.9)"
"22";"DLNMselect.by";"43.329";"19.2";"4.7";"26.606387533368";"16.3101257512075";"7.17106982424815";"54.121";"49.402";"48.374";"31.7137394786104";"35.7583669095836";"43.1533409172828";"43.3 (26.6)";"19.2 (16.3)";"4.7 (7.2)";"54.1 (31.7)";"49.4 (35.8)";"48.4 (43.2)"
"23";"DLNMselectback.none";"68.014";"49";"23.5";"25.039742229286";"19.9747315123358";"14.3107644728708";"85.933";"83.701";"87.184";"7.37885396647649";"8.74130442384333";"8.32140625256345";"68 (25)";"49 (20)";"23.5 (14.3)";"85.9 (7.4)";"83.7 (8.7)";"87.2 (8.3)"
"24";"DLNMselectback.bonf";"50.003";"24.8";"7.1";"25.750918214481";"16.6047334130112";"7.95124029458437";"52.838";"53.194";"59.288";"29.516801515699";"31.2138819803437";"38.6293688451382";"50 (25.8)";"24.8 (16.6)";"7.1 (8)";"52.8 (29.5)";"53.2 (31.2)";"59.3 (38.6)"
"25";"DLNMselectback.bh";"59.341";"29.8";"13";"28.2724018445658";"19.1738458227963";"12.4316312101612";"65.137";"62.11";"70.076";"25.3908265268615";"29.1920547513542";"31.0221723249288";"59.3 (28.3)";"29.8 (19.2)";"13 (12.4)";"65.1 (25.4)";"62.1 (29.2)";"70.1 (31)"
"26";"DLNMselectback.by";"45.331";"19.6";"4.6";"27.0339020042568";"16.8126936172247";"7.30573318522771";"45.321";"45.771";"42.684";"32.9940836294245";"35.1536089358137";"42.6575528144924";"45.3 (27)";"19.6 (16.8)";"4.6 (7.3)";"45.3 (33)";"45.8 (35.2)";"42.7 (42.7)"
"27";"DLNMselectforward.none";"71.679";"49";"22.7";"25.2406930342351";"20.96172558245";"13.8429138054913";"87.308";"85.845";"87.951";"6.0312097384431";"6.59936291691031";"7.50111769449505";"71.7 (25.2)";"49 (21)";"22.7 (13.8)";"87.3 (6)";"85.8 (6.6)";"88 (7.5)"
"28";"DLNMselectforward.bonf";"63.678";"36.2";"15.2";"26.0009890254781";"19.8367071232841";"11.2348663642351";"75.588";"76.956";"82.927";"16.2339230805699";"14.8223031512336";"14.8282684917912";"63.7 (26)";"36.2 (19.8)";"15.2 (11.2)";"75.6 (16.2)";"77 (14.8)";"82.9 (14.8)"
"29";"DLNMselectforward.bh";"71.679";"49";"22.7";"25.2406930342351";"20.96172558245";"13.8429138054913";"87.308";"85.845";"87.951";"6.0312097384431";"6.59936291691031";"7.50111769449505";"71.7 (25.2)";"49 (21)";"22.7 (13.8)";"87.3 (6)";"85.8 (6.6)";"88 (7.5)"
"30";"DLNMselectforward.by";"66.01";"40.6";"18.1";"27.2163999133321";"20.977140034819";"13.6103792835624";"79.52";"78.853";"83.298";"15.2552491380058";"14.9830979183987";"17.793046990668";"66 (27.2)";"40.6 (21)";"18.1 (13.6)";"79.5 (15.3)";"78.9 (15)";"83.3 (17.8)"
"31";"Av.ExWAS.none";"89.011";"72.6";"49.4";"15.7369660354212";"21.9558786219228";"15.943080573773";"90.68";"87.799";"86.311";"4.02835906637886";"6.04291880441626";"5.83254358290314";"89 (15.7)";"72.6 (22)";"49.4 (15.9)";"90.7 (4)";"87.8 (6)";"86.3 (5.8)"
"32";"Av.Exwas.bon";"52.337";"23.6";"11.3";"27.3374263565168";"20.1769946005621";"12.0315242491372";"65.47";"53.212";"54.987";"27.4323023481663";"37.2366016307893";"38.4653160179874";"52.3 (27.3)";"23.6 (20.2)";"11.3 (12)";"65.5 (27.4)";"53.2 (37.2)";"55 (38.5)"
"33";"Av.ExWAS.bh";"61.673";"33.2";"18.3";"30.4846305206377";"26.8508788863549";"17.0593142306542";"74.329";"61.121";"59.547";"26.1256725591259";"37.3092300303095";"39.6653309044255";"61.7 (30.5)";"33.2 (26.9)";"18.3 (17.1)";"74.3 (26.1)";"61.1 (37.3)";"59.5 (39.7)"
"34";"Av.ExWAS.by";"43.336";"21.2";"8.2";"32.3191269008982";"23.4102627930659";"12.8220138981379";"60.543";"47.301";"33.543";"35.520650573599";"40.8460957050173";"41.5763172073388";"43.3 (32.3)";"21.2 (23.4)";"8.2 (12.8)";"60.5 (35.5)";"47.3 (40.8)";"33.5 (41.6)"
"35";"Av.ExWAS.MLM.none";"46.332";"28.6";"9.7";"27.5988576838706";"21.1306661159806";"8.22106188918795";"39.233";"42.471";"43.633";"31.2131222566744";"33.8755693828178";"38.6433133630744";"46.3 (27.6)";"28.6 (21.1)";"9.7 (8.2)";"39.2 (31.2)";"42.5 (33.9)";"43.6 (38.6)"
"36";"Av.Exwas.MLM.bon";"35.662";"12.4";"4.7";"26.4999057745609";"13.8622370547331";"6.1059666133077";"14.333";"13.751";"14.333";"29.6850030326848";"30.1616302341872";"31.871807798166";"35.7 (26.5)";"12.4 (13.9)";"4.7 (6.1)";"14.3 (29.7)";"13.8 (30.2)";"14.3 (31.9)"
"37";"Av.ExWAS.MLM.bh";"40.33";"15.4";"5.6";"30.0863454380585";"18.1697940038244";"7.00937323384289";"21.414";"18.849";"20.083";"31.0609567519005";"33.1755310066886";"36.5091632471918";"40.3 (30.1)";"15.4 (18.2)";"5.6 (7)";"21.4 (31.1)";"18.8 (33.2)";"20.1 (36.5)"
"38";"Av.ExWAS.MLM.by";"28.996";"10.4";"2.7";"27.8993172502537";"13.7745190020332";"5.09604719068583";"10.832";"13.751";"7.5";"26.7347837587339";"30.6693756873286";"23.9686242720551";"29 (27.9)";"10.4 (13.8)";"2.7 (5.1)";"10.8 (26.7)";"13.8 (30.7)";"7.5 (24)"
"39";"Av.ENET.min";"80.012";"57.4";"38";"23.206300433244";"25.529543195239";"19.7969490558316";"85.656";"82.625";"80.192";"13.4107473861282";"15.9178533589035";"20.0869457583524";"80 (23.2)";"57.4 (25.5)";"38 (19.8)";"85.7 (13.4)";"82.6 (15.9)";"80.2 (20.1)"
"40";"Av.ENET.opt";"10.33";"1.2";"1.2";"22.0666826879004";"5.55595958126829";"4.98077110577075";"4.625";"6.278";"1.833";"19.2713707951259";"23.4868352551601";"11.5788474418142";"10.3 (22.1)";"1.2 (5.6)";"1.2 (5)";"4.6 (19.3)";"6.3 (23.5)";"1.8 (11.6)"
"41";"Av.sPLS";"60.005";"39.8";"26.8";"31.0779156867758";"28.3548937575157";"23.8632467500662";"49.095";"56.884";"59.122";"36.0117780256079";"33.7947360673018";"36.4652666619521";"60 (31.1)";"39.8 (28.4)";"26.8 (23.9)";"49.1 (36)";"56.9 (33.8)";"59.1 (36.5)"
